Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Gismund,Ebert,Seidenbaustraße,4,71723,Großbottwar,Germany,27 April 2020,30 April 2020,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Jona,Gabelmann,Ekkehardstraße,23,72348,Rosenfeld,Germany,28 April 2020,01 May 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Oskar,Laatsch,Alpenrosenweg,5,71254,Ditzingen,Germany,29 April 2020,02 May 2020,2,1.33,1.5827,1.5827,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Serkan,Jaberg,Newtonstraße,62,72189,Vöhringen (Württemberg),Germany,30 April 2020,03 May 2020,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Izzy,Gaar,Gondeker Straße,62,72218,Wildberg (Schwarzwald),Germany,01 May 2020,04 May 2020,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Ethan,Cakar,Am Studio,8,72589,Westerheim (Württemberg),Germany,02 May 2020,05 May 2020,1,1.4,1.666,1.666,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Matthis,Gaedke,Glienicker Weg,45,72555,Metzingen,Germany,03 May 2020,06 May 2020,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Alicia,Abdulla,Köpenicker Straße,9,69436,Schönbrunn (Baden),Germany,04 May 2020,07 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ruben,Jaap,Justus-von-Liebig-Straße,4,72178,Waldachtal,Germany,05 May 2020,08 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ida,Dachselt,Alpenrosenweg,51,68794,Oberhausen-Rheinhausen,Germany,06 May 2020,09 May 2020,1,2.6,3.0940000000000003,3.0940000000000003,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Bernd,Backasch,Eigenheimgasse,3,72393,Burladingen,Germany,07 May 2020,10 May 2020,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Meteo,Gaedecke,Friedlander Straße,3,72537,Mehrstetten,Germany,08 May 2020,11 May 2020,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Eberhard,Cakmak,Richard-Willstätter-Straße,14,72649,Wolfschlugen,Germany,09 May 2020,12 May 2020,3,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,8.97,7.537815126050421,1.4321848739495795
Jill,Obel,Güldenhofer Ufer,61,72654,Neckartenzlingen,Germany,10 May 2020,13 May 2020,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Quazim,Iffert,Radickestraße,45,71739,Oberriexingen,Germany,11 May 2020,14 May 2020,1,2.4,2.856,2.856,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Kai,Padula,Adlergestell,36,72364,Obernheim,Germany,12 May 2020,15 May 2020,1,2.0,2.38,2.38,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Kristian,Gabrisch,Gellertstraße,9,72411,Bodelshausen,Germany,13 May 2020,16 May 2020,1,1.24,1.4756,1.4756,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Gerhard,Paasch,Am Studio,25,72537,Mehrstetten,Germany,14 May 2020,17 May 2020,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Anette,Kabasakal,Helbigstraße,6,72813,Sankt Johann (Württemberg),Germany,15 May 2020,18 May 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Fanny,Machens,Wilhelm-Ostwald-Straße,4,72501,Gammertingen,Germany,16 May 2020,19 May 2020,1,1.54,1.8326,1.8326,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Barbara,Baab,Dörpfeldstraße,2,71254,Ditzingen,Germany,17 May 2020,20 May 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Ingrid,Dachwitz,Berberitzenweg,9,68804,Altlußheim,Germany,18 May 2020,21 May 2020,1,1.99,2.3681,2.3681,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Samo,Gabor,Abtstraße,3,72365,Ratshausen,Germany,19 May 2020,22 May 2020,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Panja,Haare,Albert-Einstein-Straße,5,72820,Sonnenbühl,Germany,20 May 2020,23 May 2020,5,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,249.95,210.0420168067227,39.90798319327732
Gila,Dabic,Dornbrunner Straße,5,68542,Heddesheim,Germany,21 May 2020,24 May 2020,1,1.69,2.0111,2.0111,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Stefan,Jabben,Abram-Joffe-Straße,9,72184,Eutingen im Gäu,Germany,22 May 2020,25 May 2020,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Carsten,Maahsen,Walther-Nernst-Straße,62,72178,Waldachtal,Germany,23 May 2020,26 May 2020,1,1.24,1.4756,1.4756,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Hakan,Ebneth,Behringstraße,36,72175,Dornhan,Germany,24 May 2020,27 May 2020,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Kerstin,Oberem,Hackenbergstraße,1,72229,Rohrdorf (Kreis Calw),Germany,25 May 2020,28 May 2020,1,1.35,1.6065,1.6065,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Finja,Abali,Bärdorfer Zeile,84,68723,Plankstadt,Germany,26 May 2020,29 May 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Annegret,Kabak,Eigenheimgasse,1,72667,Schlaitdorf,Germany,27 May 2020,30 May 2020,2,2.4,2.856,2.856,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Batiste,Lackas,Freystadter Weg,25,72138,Kirchentellinsfurt,Germany,28 May 2020,31 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Filomae,Machemehl,Zinsgutstraße,8,72477,Schwenningen (Heuberg),Germany,29 May 2020,01 June 2020,2,1.0,1.19,1.19,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Calvin,Lackmann,Handjerystraße,14,72147,Nehren (Württemberg),Germany,30 May 2020,02 June 2020,1,1.78,2.1182,2.1182,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Helena,Macho,Ernststraße,8,72534,Hayingen,Germany,31 May 2020,03 June 2020,1,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Gwen,Daberkow,Bergaustraße,6,68526,Ladenburg,Germany,01 June 2020,04 June 2020,1,2.0,2.38,2.38,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Finn,Labbe,Ekkehardstraße,2,71292,Friolzheim,Germany,02 June 2020,05 June 2020,4,0.0,0.0,0.0,0.99,0.8319327731092437,0.19,3.96,3.327731092436975,0.632268907563025
Nadja,Saalbach,Handjerystraße,18,72539,Pfronstetten,Germany,03 June 2020,06 June 2020,2,0.0,0.0,0.0,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Xenia,Iben,Genossenschaftsstraße,24,71157,Hildrizhausen,Germany,04 June 2020,07 June 2020,1,1.0,1.19,1.19,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Liv,Ebell,Gemeinschaftsstraße,84,71292,Friolzheim,Germany,05 June 2020,08 June 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Tiffanie,Habel,Dornbrunner Straße,4,69250,Schönau (Odenwald),Germany,06 June 2020,09 June 2020,3,0.0,0.0,0.0,99.99,84.02521008403362,0.19,299.97,252.07563025210084,47.894369747899134
Ulrich,Jackert,Bergaustraße,8,72365,Ratshausen,Germany,07 June 2020,10 June 2020,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Aideen,Kabbe,Eigenheimgasse,2,68535,Edingen-Neckarhausen,Germany,08 June 2020,11 June 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Brigitte,Kaczinski,Albert-Einstein-Straße,4,69231,Rauenberg,Germany,09 June 2020,12 June 2020,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Ben,Babinsky,KGA Holunderbusch,1,71729,Erdmannhausen,Germany,10 June 2020,13 June 2020,3,0.0,0.0,0.0,15.99,13.436974789915968,0.19,47.97,40.3109243697479,7.659075630252097
Brigitte,Baader,Abram-Joffe-Straße,24,71282,Hemmingen (Württemberg),Germany,11 June 2020,14 June 2020,2,1.78,2.1182,2.1182,119.99,100.83193277310924,0.19,239.98,201.6638655462185,38.3161344537815
Luca,Qian,Neltestraße,61,72469,Meßstetten,Germany,12 June 2020,15 June 2020,1,2.3,2.737,2.737,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Linas,Gade,Genossenschaftsstraße,25,72505,Krauchenwies,Germany,13 June 2020,16 June 2020,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Gerhard,Ebersbach,Newtonstraße,48,71696,Möglingen,Germany,14 June 2020,17 June 2020,1,1.0,1.19,1.19,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Judith,Oberdorf,Friedenstraße,9,72224,Ebhausen,Germany,15 June 2020,18 June 2020,1,2.33,2.7727,2.7727,159.99,134.4453781512605,0.19,159.99,134.4453781512605,25.544621848739496
Catherina,Baaken,Oberspreestraße,23,71296,Heimsheim,Germany,16 June 2020,19 June 2020,1,2.33,2.7727,2.7727,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Quirine,Haarhoff,Am Studio,4,68535,Edingen-Neckarhausen,Germany,17 June 2020,20 June 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Djamila,Kadenbach,Weerthstraße,25,69439,Zwingenberg (Baden),Germany,18 June 2020,21 June 2020,1,2.99,3.5581000000000005,3.5581000000000005,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Julia,Jähne,Hauptweg,84,72582,Grabenstetten,Germany,19 June 2020,22 June 2020,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Astrid,Kabashi,Hollstraße,4,72818,Trochtelfingen,Germany,20 June 2020,23 June 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Dario,Caggiano,Nipkowstraße,8,72519,Veringenstadt,Germany,21 June 2020,24 June 2020,1,1.24,1.4756,1.4756,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Konrad,Päpke,Hauptweg,47,72414,Rangendingen,Germany,22 June 2020,25 June 2020,2,0.0,0.0,0.0,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Eleni,Laackmann,Aprikosensteig,47,71111,Waldenbuch,Germany,23 June 2020,26 June 2020,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Lenny,Quach,Hackenbergstraße,62,72501,Gammertingen,Germany,24 June 2020,27 June 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jodi,Dämgen,Hackenbergstraße,2,69427,Mudau,Germany,25 June 2020,28 June 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Finn,Machan,Richard-Willstätter-Straße,98,72406,Bisingen,Germany,26 June 2020,29 June 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Okka,Haaga,Nipkowstraße,26,72660,Beuren bei Nürtingen,Germany,27 June 2020,30 June 2020,1,1.54,1.8326,1.8326,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Celia,Däubler,Hauptweg,25,71093,Weil im Schönbuch,Germany,28 June 2020,01 July 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Liv,Oberle,Eigenheimgasse,1,72406,Bisingen,Germany,29 June 2020,02 July 2020,2,1.0,1.19,1.19,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Ebbo,Cakiroglu,Platz der Befreiung,36,72644,Oberboihingen,Germany,30 June 2020,03 July 2020,2,2.99,3.5581000000000005,3.5581000000000005,16.99,14.277310924369749,0.19,33.98,28.55462184873949,5.425378151260503
Greta,Dabbert,Agavensteig,1,72818,Trochtelfingen,Germany,01 July 2020,04 July 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Hauke,Ebrecht,Dornbrunner Straße,14,72184,Eutingen im Gäu,Germany,02 July 2020,05 July 2020,5,2.56,3.0464,3.0464,0.99,0.8319327731092437,0.19,4.95,4.159663865546219,0.7903361344537814
Jules,Gabbe,Kiehnwerderallee,2,72227,Egenhausen,Germany,03 July 2020,06 July 2020,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Gerald,Eberspächer,Richard-Willstätter-Straße,1,71711,Steinheim an der Murr,Germany,04 July 2020,07 July 2020,1,1.54,1.8326,1.8326,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Jutta,Dämmrich,Husstraße,3,69436,Schönbrunn (Baden),Germany,05 July 2020,08 July 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Nele,Saalfrank,Hollstraße,1,72574,Bad Urach,Germany,06 July 2020,09 July 2020,2,0.0,0.0,0.0,199.99,168.05882352941177,0.19,399.98,336.11764705882354,63.86235294117648
Maeve,Eberhard,Selchowstraße,9,71546,Aspach bei Backnang,Germany,07 July 2020,10 July 2020,2,0.0,0.0,0.0,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Kadir,Paeper,Hackenbergstraße,62,72411,Bodelshausen,Germany,08 July 2020,11 July 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Jonna,Obenland,Bohrauer Pfad,6,72666,Neckartailfingen,Germany,09 July 2020,12 July 2020,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Maxim,Gänger,Köpenicker Straße,95,72584,Hülben,Germany,10 July 2020,13 July 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Tiny,Jach,Weerthstraße,23,72297,Seewald,Germany,11 July 2020,14 July 2020,1,1.7,2.023,2.023,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Gisele,Dabo,Ernststraße,4,68723,Oftersheim,Germany,12 July 2020,15 July 2020,1,1.54,1.8326,1.8326,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Marco,Jabin,Oberspreestraße,47,72202,Nagold,Germany,13 July 2020,16 July 2020,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Leopold,Qerimi,Lohnauer Steig,2,72419,Neufra,Germany,14 July 2020,17 July 2020,1,1.55,1.8445,1.8445,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Birte,Kacprzak,Dörpfeldstraße,3,69226,Nußloch,Germany,15 July 2020,18 July 2020,1,1.65,1.9635,1.9635,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Enes,Cakin,Newtonstraße,84,72636,Frickenhausen (Württemberg),Germany,16 July 2020,19 July 2020,1,4.99,5.9381,5.9381,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Lara,Oberholz,Handjerystraße,4,72365,Ratshausen,Germany,17 July 2020,20 July 2020,1,3.99,4.7481,4.7481,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Emilio,Cakir,Oberspreestraße,25,72639,Neuffen,Germany,18 July 2020,21 July 2020,2,5.99,7.1281,7.1281,32.99,27.722689075630257,0.19,65.98,55.44537815126051,10.53462184873949
Juna,Abazaj,Hauptweg,3,68789,Sankt Leon-Rot,Germany,19 July 2020,22 July 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Flavio,Eberius,Wassermannstraße,9,71566,Althütte,Germany,20 July 2020,23 July 2020,1,1.99,2.3681,2.3681,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Nadja,Gängler,Moissistraße,1,72585,Riederich,Germany,21 July 2020,24 July 2020,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Smila,Haasler,Waldstraße,1,68804,Altlußheim,Germany,22 July 2020,25 July 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Cadmus,Lackner,Helbigstraße,4,72149,Neustetten,Germany,23 July 2020,26 July 2020,1,1.7,2.023,2.023,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Rosa,Abbey,Gellertstraße,5,69190,Walldorf (Baden),Germany,24 July 2020,27 July 2020,1,1.33,1.5827,1.5827,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Cainan,Cacic,Gemeinschaftsstraße,65,72501,Gammertingen,Germany,25 July 2020,28 July 2020,4,0.0,0.0,0.0,29.99,25.201680672268907,0.19,119.96,100.80672268907564,19.153277310924366
Miran,Ibrahimovic,Husstraße,8,71394,Kernen im Remstal,Germany,26 July 2020,29 July 2020,3,0.0,0.0,0.0,99.99,84.02521008403362,0.19,299.97,252.07563025210084,47.894369747899134
Sonja,Haasper,Zinsgutstraße,9,69151,Neckargemünd,Germany,27 July 2020,30 July 2020,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Adam,Bachmayr,Bärdorfer Zeile,61,72299,Wörnersberg,Germany,28 July 2020,31 July 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Leo,Gaderer,Hauptweg,6,72511,Bingen bei Sigmaringen,Germany,29 July 2020,01 August 2020,1,3.0,3.5700000000000003,3.5700000000000003,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Jardis,Dade,Forsthausallee,98,69198,Schriesheim,Germany,30 July 2020,02 August 2020,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Celine,Baar,Seidenbaustraße,5,71384,Weinstadt,Germany,31 July 2020,03 August 2020,1,1.54,1.8326,1.8326,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Pascal,Idrissi,Walther-Nernst-Straße,1,71732,Tamm,Germany,01 August 2020,04 August 2020,2,2.99,3.5581000000000005,3.5581000000000005,1.99,1.6722689075630253,0.19,3.98,3.3445378151260505,0.6354621848739495
Hayo,Gaab,Ernststraße,48,72189,Vöhringen (Württemberg),Germany,02 August 2020,05 August 2020,1,1.5,1.785,1.785,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Henryk,Ebling,Pfingstberggasse,8,72145,Hirrlingen,Germany,03 August 2020,06 August 2020,3,1.99,2.3681,2.3681,29.99,25.201680672268907,0.19,89.97,75.60504201680672,14.364957983193278
Anisha,Kabat,Köpenicker Straße,8,72820,Sonnenbühl,Germany,04 August 2020,07 August 2020,1,0.0,0.0,0.0,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Berenike,Abdel,Lohnauer Steig,65,69231,Rauenberg,Germany,05 August 2020,08 August 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Arthur,Bachmayer,Neltestraße,2,72297,Seewald,Germany,06 August 2020,09 August 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Quinta,Haarhuis,Abram-Joffe-Straße,8,68542,Heddesheim,Germany,07 August 2020,10 August 2020,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Kaarle,Paegelow,Gellertstraße,9,72401,Haigerloch,Germany,08 August 2020,11 August 2020,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Jukka,Paditz,Heidekampweg,2,72355,Schömberg (Zollernalbkreis),Germany,09 August 2020,12 August 2020,1,2.55,3.0345,3.0345,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Dominique,Baba,Wilhelm-Ostwald-Straße,51,71554,Weissach im Tal,Germany,10 August 2020,13 August 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ulva,Iacona,Güldenhofer Ufer,14,71101,Schönaich,Germany,11 August 2020,14 August 2020,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Dalia,Kaddatz,Seidenbaustraße,9,69259,Wilhelmsfeld,Germany,12 August 2020,15 August 2020,1,3.0,3.5700000000000003,3.5700000000000003,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Julia,Abbas,Lohnauer Steig,8,68804,Altlußheim,Germany,13 August 2020,16 August 2020,3,0.0,0.0,0.0,2.99,2.512605042016807,0.19,8.97,7.537815126050421,1.4321848739495795
Luzia,Babick,Felsenfest,26,71711,Murr,Germany,14 August 2020,17 August 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Flora,Kaan,Hackenbergstraße,62,72649,Wolfschlugen,Germany,15 August 2020,18 August 2020,1,1.99,2.3681,2.3681,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Kathleen,Oberbeck,Hauptweg,3,72813,Sankt Johann (Württemberg),Germany,16 August 2020,19 August 2020,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Irma,Dadas,Eschenbachstraße,9,69190,Walldorf (Baden),Germany,17 August 2020,20 August 2020,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Olea,Haage,Otto-Franke-Straße,15,72661,Grafenberg,Germany,18 August 2020,21 August 2020,1,6.43,7.6517,7.6517,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Uma,Iacovelli,Hohenbirker Weg,48,71111,Waldenbuch,Germany,19 August 2020,22 August 2020,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Juna,Jäggle,Gellertstraße,8,72555,Metzingen,Germany,20 August 2020,23 August 2020,1,1.54,1.8326,1.8326,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Jella,Obeid,Glanzstraße,2,72649,Wolfschlugen,Germany,21 August 2020,24 August 2020,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Klaus,Gabsch,Hauptweg,1,72417,Jungingen,Germany,22 August 2020,25 August 2020,1,1.65,1.9635,1.9635,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Anisha,Abdulrahman,Eigenheimgasse,1,69469,Weinheim (Bergstraße),Germany,23 August 2020,26 August 2020,1,2.56,3.0464,3.0464,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Marlene,Oberlies,Handjerystraße,2,72419,Neufra,Germany,24 August 2020,27 August 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Erik,Caka,Dörpfeldstraße,45,72584,Hülben,Germany,25 August 2020,28 August 2020,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Jack,Gabb,KGA Holunderbusch,15,72226,Simmersfeld,Germany,26 August 2020,29 August 2020,2,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,3.98,3.3445378151260505,0.6354621848739495
Kasper,Paede,Bärdorfer Zeile,14,72369,Zimmern unter der Burg,Germany,27 August 2020,30 August 2020,1,1.33,1.5827,1.5827,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Alexander,Bachler,Hackenbergstraße,58,72226,Simmersfeld,Germany,28 August 2020,31 August 2020,1,1.99,2.3681,2.3681,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Jannis,Paczkowski,Dammweg,2,72250,Freudenstadt,Germany,29 August 2020,01 September 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Rudi,Igelmann,Thomas-Müntzer-Straße,84,72145,Hirrlingen,Germany,30 August 2020,02 September 2020,2,0.0,0.0,0.0,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Linda,Oberländer,Moissistraße,2,72393,Burladingen,Germany,31 August 2020,03 September 2020,1,2.99,3.5581000000000005,3.5581000000000005,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Finn,Cala,Silberberger Straße,4,72657,Altenriet,Germany,01 September 2020,04 September 2020,1,3.0,3.5700000000000003,3.5700000000000003,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Rita,Haarmann,Oberspreestraße,2,68723,Plankstadt,Germany,02 September 2020,05 September 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Rasmus,Jaafar,Albert-Einstein-Straße,14,72175,Dornhan,Germany,03 September 2020,06 September 2020,3,0.0,0.0,0.0,169.99,142.84873949579833,0.19,509.97,428.546218487395,81.42378151260505
Valentin,Jackstadt,Heidemühler Weg,9,72415,Grosselfingen,Germany,04 September 2020,07 September 2020,2,3.99,4.7481,4.7481,6.99,5.873949579831933,0.19,13.98,11.747899159663866,2.232100840336134
Nils,Ibsen,Eigenheimgasse,1,71546,Aspach bei Backnang,Germany,05 September 2020,08 September 2020,1,1.33,1.5827,1.5827,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Luke,Gadomski,Husstraße,1,72514,Inzigkofen,Germany,06 September 2020,09 September 2020,1,3.99,4.7481,4.7481,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Fritzi,Dabbagh,Am Adlergestell,26,72813,Sankt Johann (Württemberg),Germany,07 September 2020,10 September 2020,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
