Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Produkt,Bestell_Nummer,ASIN_ID,Bestell_Datum,Rechnungs_Nummer,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Fiona,Babi,KGA Einigkeit II,5,71696,Möglingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234029-1234029,if492jf562,23 March 2020,DE3MQ562AEUI,26 March 2020,1,2.0,2.38,2.38,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Maximilian,Bache,Hohenbirker Weg,8,72172,Sulz am Neckar,Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1234030-1234030,if492jf563,24 March 2020,DE3MQ563AEUI,27 March 2020,1,1.33,1.5827,1.5827,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Ariane,Kaben,Glienicker Weg,51,68723,Plankstadt,Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1234031-1234031,if492jf564,25 March 2020,DE3MQ564AEUI,28 March 2020,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Damian,Maat,Nipkowstraße,25,72229,Rohrdorf (Kreis Calw),Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1234032-1234032,if492jf565,26 March 2020,DE3MQ565AEUI,29 March 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Dominik,Maaser,Helbigstraße,25,72218,Wildberg (Schwarzwald),Germany,LED Stern Deko Boden Lampe Weihnachte,123-1234033-1234033,if492jf566,27 March 2020,DE3MQ566AEUI,30 March 2020,2,0.0,0.0,0.0,9.99,8.394957983193278,0.19,19.98,16.789915966386555,3.190084033613445
Haile,Ebneter,Aprikosensteig,25,72172,Sulz am Neckar,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234034-1234034,if492jf567,28 March 2020,DE3MQ567AEUI,31 March 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Meike,Kaase,Lohnauer Steig,2,72658,Bempflingen,Germany,Gummi-Dichtung,123-1234035-1234035,if492jf568,29 March 2020,DE3MQ568AEUI,01 April 2020,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Franz,Babilon,Hallberger Zeile,6,71723,Großbottwar,Germany,Rost Kerze Edelrost,123-1234036-1234036,if492jf569,30 March 2020,DE3MQ569AEUI,02 April 2020,2,0.0,0.0,0.0,3.59,3.016806722689076,0.19,7.18,6.033613445378151,1.1463865546218486
Heiko,Pachaly,Waldstraße,3,72639,Neuffen,Germany,Tragbares Wiederaufladbare Buchlampe,123-1234037-1234037,if492jf570,31 March 2020,DE3MQ570AEUI,03 April 2020,1,1.63,1.9397,1.9397,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Finja,Jaeckle,Adlergestell,1,72531,Hohenstein (Württemberg),Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1234038-1234038,if492jf571,01 April 2020,DE3MQ571AEUI,04 April 2020,5,0.0,0.0,0.0,99.99,84.02521008403362,0.19,499.95,420.1260504201681,79.82394957983189
Lotta,Ebbes,Helbigstraße,12,71159,Mötzingen,Germany,Hirsch Rentier Elch Figur,123-1234039-1234039,if492jf572,02 April 2020,DE3MQ572AEUI,05 April 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Selma,Abboud,Hauptweg,28,69214,Eppelheim,Germany,Herren Schuhe Turnschuhe Sneaker Airmax,123-1234040-1234040,if492jf573,03 April 2020,DE3MQ573AEUI,06 April 2020,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Mona,Oberleiter,Friedlander Straße,6,72414,Rangendingen,Germany,Herren Schuhe Turnschuhe Sneaker Airmax,123-1234041-1234041,if492jf574,04 April 2020,DE3MQ574AEUI,07 April 2020,2,3.0,3.5700000000000003,3.5700000000000003,119.99,100.83193277310924,0.19,239.98,201.6638655462185,38.3161344537815
William,Jacob,Baumschulenstraße,5,72474,Winterlingen,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1234042-1234042,if492jf575,05 April 2020,DE3MQ575AEUI,08 April 2020,1,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Lasse,Quack,Hauptweg,47,72505,Krauchenwies,Germany,Dichtung - Plastik,123-1234043-1234043,if492jf576,06 April 2020,DE3MQ576AEUI,09 April 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Lukas,Paeplow,Hoffmannstraße,26,72415,Grosselfingen,Germany,LED Pyramide 60 cm warmweiß - 20 LED,123-1234044-1234044,if492jf577,07 April 2020,DE3MQ577AEUI,10 April 2020,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Gabriel,Eberli,Justus-von-Liebig-Straße,5,71579,Spiegelberg,Germany,Hirsch Rentier Elch Figur,123-1234045-1234045,if492jf578,08 April 2020,DE3MQ578AEUI,11 April 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Julie,Obenaus,Königsheideweg,26,72660,Beuren bei Nürtingen,Germany,Hirsch Rentier Elch Figur,123-1234046-1234046,if492jf579,09 April 2020,DE3MQ579AEUI,12 April 2020,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Thomas,Jack,Pfingstberggasse,4,72356,Dautmergen,Germany,Tischlampe Nachttischlampe 2er Set,123-1234047-1234047,if492jf580,10 April 2020,DE3MQ580AEUI,13 April 2020,1,1.54,1.8326,1.8326,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Emily,Babaoglu,Am Adlergestell,64,71573,Allmersbach im Tal,Germany,Rennrad Herren Gebraucht,123-1234048-1234048,if492jf581,11 April 2020,DE3MQ581AEUI,14 April 2020,1,3.99,4.7481,4.7481,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Jakobine,Daedelow,Abtstraße,48,69242,Mühlhausen (Kraichgau),Germany,Gummi-Dichtung,123-1234049-1234049,if492jf582,12 April 2020,DE3MQ582AEUI,15 April 2020,1,2.4,2.856,2.856,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Anton,Bachmaier,Hauptweg,62,72227,Egenhausen,Germany,Nike Court Borough Mid Winter Sneaker,123-1234050-1234050,if492jf583,13 April 2020,DE3MQ583AEUI,16 April 2020,2,1.99,2.3681,2.3681,89.99,75.6218487394958,0.19,179.98,151.2436974789916,28.736302521008383
Rosa,Jähnig,Bärdorfer Zeile,14,72622,Nürtingen,Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1234051-1234051,if492jf584,14 April 2020,DE3MQ584AEUI,17 April 2020,1,1.69,2.0111,2.0111,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Marianne,Ebener,Moissistraße,3,71394,Kernen im Remstal,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1234052-1234052,if492jf585,15 April 2020,DE3MQ585AEUI,18 April 2020,2,5.99,7.1281,7.1281,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Bertram,Lachs,Bernstadter Weg,95,71739,Oberriexingen,Germany,Adidas Schuhe ClimaCool 2 Sneakers,123-1234053-1234053,if492jf586,16 April 2020,DE3MQ586AEUI,19 April 2020,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Guiseppe,Ebermann,Abram-Joffe-Straße,26,71686,Remseck am Neckar,Germany,Dichtung - Plastik,123-1234054-1234054,if492jf587,17 April 2020,DE3MQ587AEUI,20 April 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Udo,Jacken,Aprikosensteig,2,72362,Nusplingen,Germany,Rost Kerze Edelrost,123-1234055-1234055,if492jf588,18 April 2020,DE3MQ588AEUI,21 April 2020,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Alma,Abduli,Hollstraße,8,69434,Heddesbach,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1234056-1234056,if492jf589,19 April 2020,DE3MQ589AEUI,22 April 2020,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Jack,Pack,Gondeker Straße,48,72820,Sonnenbühl,Germany,Philipp Plein Sport Runner Sneaker ,123-1234057-1234057,if492jf590,20 April 2020,DE3MQ590AEUI,23 April 2020,1,5.99,7.1281,7.1281,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Haku,Pache,Weerthstraße,2,72644,Oberboihingen,Germany,Lavalampe Magma Lava Lampe Magmaleuchte,123-1234058-1234058,if492jf591,21 April 2020,DE3MQ591AEUI,24 April 2020,1,1.24,1.4756,1.4756,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Blue,Lacin,Büchnerweg,1,72131,Ofterdingen,Germany,Dimmbar LED Klemmleuchte Schreibtischlampe,123-1234059-1234059,if492jf592,22 April 2020,DE3MQ592AEUI,25 April 2020,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Jella,Daebel,Hohenbirker Weg,27,69226,Nußloch,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234060-1234060,if492jf593,23 April 2020,DE3MQ593AEUI,26 April 2020,1,2.99,3.5581000000000005,3.5581000000000005,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Jukka,Gabler,Königsheideweg,1,72364,Obernheim,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234061-1234061,if492jf594,24 April 2020,DE3MQ594AEUI,27 April 2020,4,0.0,0.0,0.0,49.99,42.00840336134454,0.19,199.96,168.03361344537817,31.926386554621843
Henry,Laber,Güldenhofer Ufer,51,71364,Winnenden,Germany,Hirsch Rentier Elch Figur,123-1234062-1234062,if492jf595,25 April 2020,DE3MQ595AEUI,28 April 2020,2,2.3,2.737,2.737,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Luise,Jaedicke,Bohrauer Pfad,6,72534,Hayingen,Germany,Philipp Plein Sport Runner Sneaker ,123-1234063-1234063,if492jf596,26 April 2020,DE3MQ596AEUI,29 April 2020,1,2.0,2.38,2.38,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Gismund,Ebert,Seidenbaustraße,4,71723,Großbottwar,Germany,26 ZOLL MOUNTAINBIKE SHIMANO 21GANG 26,123-1234064-1234064,if492jf597,27 April 2020,DE3MQ597AEUI,30 April 2020,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Jona,Gabelmann,Ekkehardstraße,23,72348,Rosenfeld,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1234065-1234065,if492jf598,28 April 2020,DE3MQ598AEUI,01 May 2020,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Oskar,Laatsch,Alpenrosenweg,5,71254,Ditzingen,Germany,Gummi-Dichtung,123-1234066-1234066,if492jf599,29 April 2020,DE3MQ599AEUI,02 May 2020,2,1.33,1.5827,1.5827,2.99,2.512605042016807,0.19,5.98,5.025210084033614,0.9547899159663862
Serkan,Jaberg,Newtonstraße,62,72189,Vöhringen (Württemberg),Germany,Adidas Schuhe ClimaCool 2 Sneakers,123-1234067-1234067,if492jf600,30 April 2020,DE3MQ600AEUI,03 May 2020,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Izzy,Gaar,Gondeker Straße,62,72218,Wildberg (Schwarzwald),Germany,Tragbares Wiederaufladbare Buchlampe,123-1234068-1234068,if492jf601,01 May 2020,DE3MQ601AEUI,04 May 2020,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Ethan,Cakar,Am Studio,8,72589,Westerheim (Württemberg),Germany,LED Stern Deko Boden Lampe Weihnachte,123-1234069-1234069,if492jf602,02 May 2020,DE3MQ602AEUI,05 May 2020,1,1.4,1.666,1.666,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Matthis,Gaedke,Glienicker Weg,45,72555,Metzingen,Germany,Himalaya- Salzlampe,123-1234070-1234070,if492jf603,03 May 2020,DE3MQ603AEUI,06 May 2020,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Alicia,Abdulla,Köpenicker Straße,9,69436,Schönbrunn (Baden),Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234071-1234071,if492jf604,04 May 2020,DE3MQ604AEUI,07 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ruben,Jaap,Justus-von-Liebig-Straße,4,72178,Waldachtal,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234072-1234072,if492jf605,05 May 2020,DE3MQ605AEUI,08 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Ida,Dachselt,Alpenrosenweg,51,68794,Oberhausen-Rheinhausen,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1234073-1234073,if492jf606,06 May 2020,DE3MQ606AEUI,09 May 2020,1,2.6,3.0940000000000003,3.0940000000000003,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Bernd,Backasch,Eigenheimgasse,3,72393,Burladingen,Germany,"Playstation, Icons Light, Nachtlicht",123-1234074-1234074,if492jf607,07 May 2020,DE3MQ607AEUI,10 May 2020,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Meteo,Gaedecke,Friedlander Straße,3,72537,Mehrstetten,Germany,LED Pyramide 60 cm warmweiß - 20 LED,123-1234075-1234075,if492jf608,08 May 2020,DE3MQ608AEUI,11 May 2020,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Eberhard,Cakmak,Richard-Willstätter-Straße,14,72649,Wolfschlugen,Germany,Gummi-Dichtung,123-1234076-1234076,if492jf609,09 May 2020,DE3MQ609AEUI,12 May 2020,3,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,8.97,7.537815126050421,1.4321848739495795
Jill,Obel,Güldenhofer Ufer,61,72654,Neckartenzlingen,Germany,Kappa Base 2 Sportschuhe Turnschuhe Sneakers,123-1234077-1234077,if492jf610,10 May 2020,DE3MQ610AEUI,13 May 2020,1,0.0,0.0,0.0,60.99,51.25210084033614,0.19,60.99,51.25210084033614,9.73789915966386
Quazim,Iffert,Radickestraße,45,71739,Oberriexingen,Germany,Hirsch Rentier Elch Figur,123-1234078-1234078,if492jf611,11 May 2020,DE3MQ611AEUI,14 May 2020,1,2.4,2.856,2.856,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Kai,Padula,Adlergestell,36,72364,Obernheim,Germany,Flachdichtung - WC,123-1234079-1234079,if492jf612,12 May 2020,DE3MQ612AEUI,15 May 2020,1,2.0,2.38,2.38,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Kristian,Gabrisch,Gellertstraße,9,72411,Bodelshausen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234080-1234080,if492jf613,13 May 2020,DE3MQ613AEUI,16 May 2020,1,1.24,1.4756,1.4756,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Gerhard,Paasch,Am Studio,25,72537,Mehrstetten,Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1234081-1234081,if492jf614,14 May 2020,DE3MQ614AEUI,17 May 2020,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Anette,Kabasakal,Helbigstraße,6,72813,Sankt Johann (Württemberg),Germany,Dichtung - Plastik,123-1234082-1234082,if492jf615,15 May 2020,DE3MQ615AEUI,18 May 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Fanny,Machens,Wilhelm-Ostwald-Straße,4,72501,Gammertingen,Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1234083-1234083,if492jf616,16 May 2020,DE3MQ616AEUI,19 May 2020,1,1.54,1.8326,1.8326,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Barbara,Baab,Dörpfeldstraße,2,71254,Ditzingen,Germany,Hirsch Rentier Elch Figur,123-1234084-1234084,if492jf617,17 May 2020,DE3MQ617AEUI,20 May 2020,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Ingrid,Dachwitz,Berberitzenweg,9,68804,Altlußheim,Germany,Philipp Plein Sport Runner Sneaker ,123-1234085-1234085,if492jf618,18 May 2020,DE3MQ618AEUI,21 May 2020,1,1.99,2.3681,2.3681,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Samo,Gabor,Abtstraße,3,72365,Ratshausen,Germany,Philipp Plein Sport Runner Sneaker ,123-1234086-1234086,if492jf619,19 May 2020,DE3MQ619AEUI,22 May 2020,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Panja,Haare,Albert-Einstein-Straße,5,72820,Sonnenbühl,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234087-1234087,if492jf620,20 May 2020,DE3MQ620AEUI,23 May 2020,5,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,249.95,210.0420168067227,39.90798319327732
Gila,Dabic,Dornbrunner Straße,5,68542,Heddesheim,Germany,PUMA Nucleus Trainingsschuhe,123-1234088-1234088,if492jf621,21 May 2020,DE3MQ621AEUI,24 May 2020,1,1.69,2.0111,2.0111,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Stefan,Jabben,Abram-Joffe-Straße,9,72184,Eutingen im Gäu,Germany,Philipp Plein Sport Runner Sneaker ,123-1234089-1234089,if492jf622,22 May 2020,DE3MQ622AEUI,25 May 2020,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Carsten,Maahsen,Walther-Nernst-Straße,62,72178,Waldachtal,Germany,Philipp Plein Sport Runner Sneaker ,123-1234090-1234090,if492jf623,23 May 2020,DE3MQ623AEUI,26 May 2020,1,1.24,1.4756,1.4756,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Hakan,Ebneth,Behringstraße,36,72175,Dornhan,Germany,Tischlampe Nachttischlampe 2er Set,123-1234091-1234091,if492jf624,24 May 2020,DE3MQ624AEUI,27 May 2020,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Kerstin,Oberem,Hackenbergstraße,1,72229,Rohrdorf (Kreis Calw),Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1234092-1234092,if492jf625,25 May 2020,DE3MQ625AEUI,28 May 2020,1,1.35,1.6065,1.6065,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Finja,Abali,Bärdorfer Zeile,84,68723,Plankstadt,Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1234093-1234093,if492jf626,26 May 2020,DE3MQ626AEUI,29 May 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Annegret,Kabak,Eigenheimgasse,1,72667,Schlaitdorf,Germany,Retro LED Lampe Schreibtischlampe,123-1234094-1234094,if492jf627,27 May 2020,DE3MQ627AEUI,30 May 2020,2,2.4,2.856,2.856,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Batiste,Lackas,Freystadter Weg,25,72138,Kirchentellinsfurt,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234095-1234095,if492jf628,28 May 2020,DE3MQ628AEUI,31 May 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Filomae,Machemehl,Zinsgutstraße,8,72477,Schwenningen (Heuberg),Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1234096-1234096,if492jf629,29 May 2020,DE3MQ629AEUI,01 June 2020,2,1.0,1.19,1.19,149.99,126.0420168067227,0.19,299.98,252.0840336134454,47.89596638655462
Calvin,Lackmann,Handjerystraße,14,72147,Nehren (Württemberg),Germany,"Panasonic ToughBook CF-52 i5 15,4",123-1234097-1234097,if492jf630,30 May 2020,DE3MQ630AEUI,02 June 2020,1,1.78,2.1182,2.1182,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Helena,Macho,Ernststraße,8,72534,Hayingen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234098-1234098,if492jf631,31 May 2020,DE3MQ631AEUI,03 June 2020,1,1.99,2.3681,2.3681,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Gwen,Daberkow,Bergaustraße,6,68526,Ladenburg,Germany,Dichtung - Plastik,123-1234099-1234099,if492jf632,01 June 2020,DE3MQ632AEUI,04 June 2020,1,2.0,2.38,2.38,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Finn,Labbe,Ekkehardstraße,2,71292,Friolzheim,Germany,Flachdichtung - WC,123-1234100-1234100,if492jf633,02 June 2020,DE3MQ633AEUI,05 June 2020,4,0.0,0.0,0.0,0.99,0.8319327731092437,0.19,3.96,3.327731092436975,0.632268907563025
Nadja,Saalbach,Handjerystraße,18,72539,Pfronstetten,Germany,Stehlampe Holz Tripod Stativ Dreibein,123-1234101-1234101,if492jf634,03 June 2020,DE3MQ634AEUI,06 June 2020,2,0.0,0.0,0.0,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Xenia,Iben,Genossenschaftsstraße,24,71157,Hildrizhausen,Germany,Himalaya- Salzlampe,123-1234102-1234102,if492jf635,04 June 2020,DE3MQ635AEUI,07 June 2020,1,1.0,1.19,1.19,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Liv,Ebell,Gemeinschaftsstraße,84,71292,Friolzheim,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234103-1234103,if492jf636,05 June 2020,DE3MQ636AEUI,08 June 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Tiffanie,Habel,Dornbrunner Straße,4,69250,Schönau (Odenwald),Germany,NIKE AIR FORCE 1 Mit Stiefel TOoP Sneaker,123-1234104-1234104,if492jf637,06 June 2020,DE3MQ637AEUI,09 June 2020,3,0.0,0.0,0.0,99.99,84.02521008403362,0.19,299.97,252.07563025210084,47.894369747899134
Ulrich,Jackert,Bergaustraße,8,72365,Ratshausen,Germany,"Playstation, Icons Light, Nachtlicht",123-1234105-1234105,if492jf638,07 June 2020,DE3MQ638AEUI,10 June 2020,1,0.0,0.0,0.0,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Aideen,Kabbe,Eigenheimgasse,2,68535,Edingen-Neckarhausen,Germany,LED Unterbauleuchte Lichtleiste Küche,123-1234106-1234106,if492jf639,08 June 2020,DE3MQ639AEUI,11 June 2020,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Brigitte,Kaczinski,Albert-Einstein-Straße,4,69231,Rauenberg,Germany,Rost Kerze Edelrost,123-1234107-1234107,if492jf640,09 June 2020,DE3MQ640AEUI,12 June 2020,1,0.0,0.0,0.0,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Ben,Babinsky,KGA Holunderbusch,1,71729,Erdmannhausen,Germany,"Playstation, Icons Light, Nachtlicht",123-1234108-1234108,if492jf641,10 June 2020,DE3MQ641AEUI,13 June 2020,3,0.0,0.0,0.0,15.99,13.436974789915968,0.19,47.97,40.3109243697479,7.659075630252097
Brigitte,Baader,Abram-Joffe-Straße,24,71282,Hemmingen (Württemberg),Germany,Herren Schuhe Turnschuhe Sneaker Airmax,123-1234109-1234109,if492jf642,11 June 2020,DE3MQ642AEUI,14 June 2020,2,1.78,2.1182,2.1182,119.99,100.83193277310924,0.19,239.98,201.6638655462185,38.3161344537815
Luca,Qian,Neltestraße,61,72469,Meßstetten,Germany,Retro LED Lampe Schreibtischlampe,123-1234110-1234110,if492jf643,12 June 2020,DE3MQ643AEUI,15 June 2020,1,2.3,2.737,2.737,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Linas,Gade,Genossenschaftsstraße,25,72505,Krauchenwies,Germany,Tischlampe Nachttischlampe 2er Set,123-1234111-1234111,if492jf644,13 June 2020,DE3MQ644AEUI,16 June 2020,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Gerhard,Ebersbach,Newtonstraße,48,71696,Möglingen,Germany,LENOVO ThinkPad X260 Intel Core i7 6. Gen 2,123-1234112-1234112,if492jf645,14 June 2020,DE3MQ645AEUI,17 June 2020,1,1.0,1.19,1.19,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Judith,Oberdorf,Friedenstraße,9,72224,Ebhausen,Germany,Lenovo IdeaPad 1 81VU00A4GE - 14,123-1234113-1234113,if492jf646,15 June 2020,DE3MQ646AEUI,18 June 2020,1,2.33,2.7727,2.7727,159.99,134.4453781512605,0.19,159.99,134.4453781512605,25.544621848739496
Catherina,Baaken,Oberspreestraße,23,71296,Heimsheim,Germany,Hirsch Rentier Elch Figur,123-1234114-1234114,if492jf647,16 June 2020,DE3MQ647AEUI,19 June 2020,1,2.33,2.7727,2.7727,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Quirine,Haarhoff,Am Studio,4,68535,Edingen-Neckarhausen,Germany,LED Deckenleuchte Wandleuchte Fernbedienung,123-1234115-1234115,if492jf648,17 June 2020,DE3MQ648AEUI,20 June 2020,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Djamila,Kadenbach,Weerthstraße,25,69439,Zwingenberg (Baden),Germany,LED Unterbauleuchte Mit Bewegungsmelder,123-1234116-1234116,if492jf649,18 June 2020,DE3MQ649AEUI,21 June 2020,1,2.99,3.5581000000000005,3.5581000000000005,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Julia,Jähne,Hauptweg,84,72582,Grabenstetten,Germany,LED Stern Deko Boden Lampe Weihnachte,123-1234117-1234117,if492jf650,19 June 2020,DE3MQ650AEUI,22 June 2020,1,0.0,0.0,0.0,9.99,8.394957983193278,0.19,9.99,8.394957983193278,1.5950420168067223
Astrid,Kabashi,Hollstraße,4,72818,Trochtelfingen,Germany,Dichtung - Plastik,123-1234118-1234118,if492jf651,20 June 2020,DE3MQ651AEUI,23 June 2020,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Dario,Caggiano,Nipkowstraße,8,72519,Veringenstadt,Germany,Philipp Plein Sport Runner Sneaker ,123-1234119-1234119,if492jf652,21 June 2020,DE3MQ652AEUI,24 June 2020,1,1.24,1.4756,1.4756,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
